"","From","To","Value"
"141598","Sweden","Canada",240
"141615","Sweden","Czech Republic",105
"141634","Sweden","Denmark",1410
"141671","Sweden","Finland",660
"141683","Sweden","France",586
"141702","Sweden","Germany",2730
"141721","Sweden","Hungary",228
"141740","Sweden","Iceland",67
"141758","Sweden","Italy",224
"141772","Sweden","Japan",1068
"141791","Sweden","Korea",324
"141810","Sweden","Luxembourg",109
"141823","Sweden","Mexico",25
"141842","Sweden","Netherlands",1247
"141861","Sweden","New Zealand",235
"141880","Sweden","Norway",1965
"141899","Sweden","Poland",141
"141916","Sweden","Slovak Republic",17
"141935","Sweden","Spain",2919
"141954","Sweden","Switzerland",920
"141959","Sweden","Turkey",1188
"141984","Sweden","United States",1206
"142016","Sweden","Estonia",142
"142035","Sweden","Israel",24
"142048","Sweden","Slovenia",17
"142067","Switzerland","Australia",169
"142100","Switzerland","Austria",727
"142131","Switzerland","Belgium",238
"142162","Switzerland","Canada",225
"142179","Switzerland","Czech Republic",38
"142215","Switzerland","Denmark",122
"142252","Switzerland","Finland",39
"142282","Switzerland","France",58
